questions,gold_answers,answers,bert_precision,bert_recall,bert_f1,bleu,rouge1,rouge1_precision,rouge1_recall,rouge1_fmeasure,rouge2,rouge2_precision,rouge2_recall,rouge2_fmeasure,rougeL,rougeL_precision,rougeL_recall,rougeL_fmeasure,ner_precision,ner_recall,ner_f1,judge_accuracy,judge_usefulness,judge_calibration,judge_relevance,judge_recall
Сколько я потратил на отели в 2024?,На отели было потрачено 9420 рублей.,"Судя по предоставленным данным в таблице `hotel_expenses_2024`, на 2024 год нет зафиксированных транзакций, описывающих расходы на отели. Пожалуйста, убедитесь в корректности данных или уточните запрос. Если транзакции отсутствуют, возможно, расходы на отели за 2024 год не были зафиксированы в базе данных",0.5792080163955688,0.6756151914596558,0.623708188533783,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1,2,4,3,1
Сколько я потратил на такси в 2024?,В 2024 году вы потратили 2664 рубля на такси.,В 2024 году ваши траты на такси составили 2664 рублей. Эта сумма была потрачена на сервис Яндекс Такси 12 июля 2024 года в 19:51:59,0.7034071683883667,0.8135427832603455,0.7544768452644348,0.0,,1.0,0.2857142857142857,0.4444444444444445,,1.0,0.16666666666666666,0.2857142857142857,,1.0,0.2857142857142857,0.4444444444444445,0.3125,0.5,0.35,5,5,5,5,5
Когда был последний платеж по кредиту?,У вас не было платежей по кредитам.,"К сожалению, текущие данные из таблицы не возвращаются, и я не могу предоставить вам информацию о последнем платеже по кредиту. Пожалуйста, попробуйте запрос еще раз или уточните детали вопроса. ",0.6509501338005066,0.767340362071991,0.7043695449829102,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1,1,3,1,0
Я тратил что-нибудь в фастфуде?,Вы ничего не тратили в фастфуде.,"На данный момент в базе данных нет информации о ваших расходах в категории ""Фастфуд"". Пожалуйста, убедитесь, что транзакции были правильно классифицированы",0.6514491438865662,0.7425732612609863,0.6940328478813171,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,5,3,4,5,5
Я тратил что-нибудь в ресторанах?,В ресторанах вы потратили 290 рублей.,"Да, у вас была трата в ресторане. Вы потратили 290 рублей (RUB) в ""Фреш кафе"" 3 июня 2024 года в 11:42. ",0.6815235614776611,0.8350870609283447,0.7505307793617249,0.0,,1.0,0.16666666666666666,0.2857142857142857,,0.0,0.0,0.0,,1.0,0.16666666666666666,0.2857142857142857,0.25,0.25,0.25,5,4,5,5,5
Какая была сумма последнего перевода?,Последний раз вы переводили 10000 рублей.,"Сумма последнего перевода составила 10,000 (отрицательное значение обозначает списание) в валюте RUB и проведена 8 декабря 2024 года. 

",0.5649811029434204,0.6867624521255493,0.6199477910995483,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4,4,5,5,4
Когда был последний перевод от Элины М?,Последний перевод от Элины М. был совершён 29 октября в 17:35.,Последний перевод от Элины М был совершен 29 октября 2024 года в 17:35:07. ,0.8817916512489319,0.9161782264709473,0.8986561298370361,0.3817666460451127,,1.0,0.6,0.7499999999999999,,0.5,0.25,0.3333333333333333,,1.0,0.6,0.7499999999999999,0.16666666666666666,0.25,0.2,1,2,0,5,2
Когда последний раз я тратился на такси?,"Последняя операция по категории ""Такси"" была 12 июня 2024 года.","Последняя трата на такси была совершена 12 июля 2024 года в 19:51:59 в ""Яндекс Такси"" на сумму 2664.0 RUB.  
",0.7219088077545166,0.860325276851654,0.7850625514984131,0.0,,1.0,0.25,0.4,,1.0,0.14285714285714285,0.25,,1.0,0.25,0.4,0.16666666666666666,0.16666666666666666,0.16666666666666666,0,2,0,5,1
Сколько всего я потратил в сентябре?,В сентябре вы потратили 264985 рублей.,"Извините, я не смог определить какие-либо траты за сентябрь. Возможно, данные о транзакциях за этот период отсутствуют или все транзакции за сентябрь были отклонены",0.6002153158187866,0.629298746585846,0.6144130229949951,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.25,0.25,0.25,1,1,2,2,1
Когда и кому был совершён последний платёж?,Последний платеж был совершен 8 декабря 2024 года в 00:29:50 на сумму 10000 рублей. Перевод был сделан Владимиру З..,Последний платёж был совершён 8 декабря 2024 года в 00:29:50 и получателем был Владимир З,0.8735246062278748,0.8119844794273376,0.8416310548782349,0.3630677387318911,,0.8333333333333334,1.0,0.9090909090909091,,0.8,1.0,0.888888888888889,,0.8333333333333334,1.0,0.9090909090909091,0.25,0.25,0.25,5,5,0,5,5
Когда я последний раз покупала авиабилеты?,Ваша последняя покупка авиабилетов была совершена 21 ноября 2024 года на сумму 3578 рублей ,"Последний раз вы покупали авиабилеты 21 ноября 2024 года в компании ""Аэрофлот"". Сумма покупки составила 3578.0 рублей, и транзакция успешно завершилась (статус: OK)",0.7489248514175415,0.8197738528251648,0.7827494740486145,0.08218074077265651,,1.0,0.6,0.7499999999999999,,1.0,0.5,0.6666666666666666,,1.0,0.6,0.7499999999999999,0.41666666666666663,0.5,0.45,5,5,0,5,5
Сколько стоил последний билет от ржд,"Последний билет стоил 1681,5 рублей.",Последний билет от РЖД стоил 1681.5 RUB и был куплен в 07:24:37 10 декабря 2024 года,0.6734115481376648,0.8482711911201477,0.7507945895195007,0.0,,1.0,0.25,0.4,,1.0,0.14285714285714285,0.25,,1.0,0.25,0.4,0.0,0.0,0.0,5,5,5,5,5
Сколько денег я потратила в Ural Airlines,Всего за последний год вы потратили 18455 рублей.,"Вы потратили в компании Ural Airlines следующие суммы:
- 6673.0 RUB
- 1000.0 RUB
- 10782.0 RUB

Общая сумма расходов составляет 18,455.0 RUB",0.6141126155853271,0.7328259944915771,0.6682378649711609,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,5,5,0,5,5
Какую сумму я потратила на ж/д билеты за 2024,Суммарно вы потратили 32398 рублей на билеты.,"В 2024 году вы потратили на ж/д билеты 32,398.60 RUB",0.709467351436615,0.7668070197105408,0.7370235919952393,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1,5,0,5,5
Когда был последний перевод,Последний перевод был совершен на сумму 243 RUB и произошел 10 декабря 2024 года в 23:36:31.,Последний перевод был совершён 10 декабря 2024 года в 23:36:31. ,0.9547244310379028,0.8423387408256531,0.8950173854827881,0.5364707540033955,,0.7142857142857143,1.0,0.8333333333333333,,0.6666666666666666,1.0,0.8,,0.7142857142857143,1.0,0.8333333333333333,0.5,0.5,0.5,5,5,0,5,5
Какая сумма погашения кредита была последняя,Последняя сумма погашения кредита была 10710 рублей.,"Последняя сумма погашения кредита составляет 10,710 RUB. Эта операция была проведена 5 декабря 2024 года с описанием 'Досрочное погашение'. ",0.7409833669662476,0.8701934218406677,0.8004074096679688,0.1258220555845937,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,5,5,5,5,5
