questions,gold_answers,answers,bert_precision,bert_recall,bert_f1,bleu,rouge1,rouge1_precision,rouge1_recall,rouge1_fmeasure,rouge2,rouge2_precision,rouge2_recall,rouge2_fmeasure,rougeL,rougeL_precision,rougeL_recall,rougeL_fmeasure,ner_precision,ner_recall,ner_f1,judge_accuracy,judge_usefulness,judge_calibration,judge_relevance,judge_recall
Когда я последний раз покупала авиабилеты?,Ваша последняя покупка авиабилетов была совершена 21 ноября 2024 года на сумму 3578 рублей ,"Последний раз вы покупали авиабилеты от компании ""Аэрофлот"" на сумму 3578.0 RUB. Покупка была совершена 21 ноября 2024 года в 7:15 утра.

",0.757429838180542,0.8620216250419617,0.8063482046127319,0.18503199561392897,,1.0,0.42857142857142855,0.6,,0.5,0.16666666666666666,0.25,,0.6666666666666666,0.2857142857142857,0.4,0.25,0.25,0.25,5,5,5,5,5
Сколько стоил последний билет от ржд,"Последний билет стоил 1681,5 рублей.","Последний билет от РЖД стоил 1681.5 RUB.
",0.8109337687492371,0.8922434449195862,0.8496477007865906,0.0,,1.0,0.6666666666666666,0.8,,1.0,0.5,0.6666666666666666,,1.0,0.6666666666666666,0.8,0.0,0.0,0.0,4,5,0,5,4
Сколько денег я потратила в Ural Airlines,Всего за последний год вы потратили 18455 рублей.,Ты потратила -18455.0 RUB в Ural Airlines,0.6899517774581909,0.6955959796905518,0.6927623748779297,0.0,,1.0,0.2,0.33333333333333337,,0.0,0.0,0.0,,1.0,0.2,0.33333333333333337,0.0,0.0,0.0,0,1,2,2,1
Какую сумму я потратила на ж/д билеты за 2024,Суммарно вы потратили 32398 рублей на билеты.,"В 2024 году вы потратили -28599.30 RUB на ж/д билеты.
",0.7689299583435059,0.833398163318634,0.7998671531677246,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0
Когда был последний перевод,Последний перевод был совершен на сумму 243 RUB и произошел 10 декабря 2024 года в 23:36:31.,"Последний перевод был на сумму 243.0 RUB и был совершен с описанием ""Перевод между счетами"" во времени 2024-12-10 23:36:31. 
",0.786715567111969,0.8559619784355164,0.8198792338371277,0.24577774110849787,,1.0,0.7777777777777778,0.8750000000000001,,0.3333333333333333,0.25,0.28571428571428575,,0.8571428571428571,0.6666666666666666,0.75,0.16666666666666666,0.16666666666666666,0.16666666666666666,5,5,0,5,5
Какая сумма погашения кредита была последняя,Последняя сумма погашения кредита была 10710 рублей.,"Последняя сумма погашения кредита составила -10710.0 RUB и была проведена 5 декабря 2024 года в 18:26:33.

",0.7427829504013062,0.9107204079627991,0.8182234168052673,0.1258220555845937,,1.0,0.125,0.2222222222222222,,0.0,0.0,0.0,,1.0,0.125,0.2222222222222222,0.0,0.0,0.0,1,2,0,5,1
Сколько я потратила на авиабилеты в 2024,Всего вами было потрачено 22033 рублей на авиабилеты.,"В 2024 году ты потратила -22033.0 рублей на авиабилеты.

",0.8042060136795044,0.8471881747245789,0.825137734413147,0.2626909894424158,,1.0,0.3333333333333333,0.5,,0.0,0.0,0.0,,1.0,0.3333333333333333,0.5,0.08333333333333333,0.08333333333333333,0.08333333333333333,1,2,0,2,1
Сколько денег я потратила в Befree за год,В магазине Befree вы потратили 15425 рублей.,"За последний год вы не потратили ни одного рубля в магазине Befree.
",0.793928861618042,0.8562821745872498,0.8239275217056274,0.0,,0.5,1.0,0.6666666666666666,,0.0,0.0,0.0,,0.5,1.0,0.6666666666666666,0.0,0.0,0.0,0,1,0,0,0
Какие авиабилеты я покупала чаще?,Чаще всего вы покупали компании Ural Airlines.,"Я покупала авиабилеты 5 раз.

Отлично! Если у тебя возникнут дополнительные вопросы, не стесняйся спрашивать. Я готов помочь!",0.6114152669906616,0.7044253349304199,0.654633104801178,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2,2,3,3,2
На какую сумму я получила переводы за апрель 2024?,За апрель вы получили переводы на сумму 46116 рублей.,"За апрель 2024 года Вы получили переводы на общую сумму 11 662.0 RUB.
",0.8052917718887329,0.8866249918937683,0.8440034985542297,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.125,0.25,0.16666666666666666,0,1,0,1,0
Сколько я потратила на дом и ремонт в мае?,Вы потратили 10 мая 58451 рублей.,"В мае вы потратили -58451.0 RUB на дом и ремонт.
",0.7418931722640991,0.8251065015792847,0.7812904119491577,0.0,,0.5,0.3333333333333333,0.4,,0.0,0.0,0.0,,0.5,0.3333333333333333,0.4,0.25,0.125,0.16666666666666666,0,2,0,2,3
В каком магазине косметики я чаще совершала покупки,Чаще всего вы совершали покупки в магазине Подружка.,"Чаще всего вы совершали покупки косметики в магазине ""Подружка"". 
",0.908869206905365,0.9713889956474304,0.9390897154808044,0.38827267775222324,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,5,5,5,5,5
Сколько денег я потратила на мобильную связь за 2024 год?,Всего на мобильную связь вы потратили 5415 рублей.,"За 2024 год ты потратила -5415.0 рублей на мобильную связь.
",0.8161951303482056,0.8837629556655884,0.8486362099647522,0.0,,1.0,0.3333333333333333,0.5,,0.0,0.0,0.0,,1.0,0.3333333333333333,0.5,0.0,0.0,0.0,1,2,0,2,1
На какую сумму была покупка в Золотом Яблоке?,"Последняя покупка была совершена на 1360,41 рубля.",Покупка в Золотом Яблоке на сумму 96.0 RUB была совершена в магазине красоты. ,0.732337236404419,0.8082314729690552,0.7684149742126465,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,2,1
Сумма последней поездки на Яндекс такси,Последний раз вы потратили в Яндекс.Такси 814 рубля.,Сумма последней поездки на Яндекс такси составила -814.0 RUB и была осуществлена 8 сентября 2024 года в 19:01:52,0.6152724027633667,0.706153929233551,0.6575879454612732,0.0,,1.0,0.125,0.2222222222222222,,0.0,0.0,0.0,,1.0,0.125,0.2222222222222222,0.0,0.0,0.0,1,2,0,3,1
Когда был последний платеж по кредиту?,Последний платёж по кредиту был совершён 5 декабря.,Последний платеж по кредиту был произведен на сумму 114986.02 RUB при получении кредита. Оплата была совершена 8 августа 2024 года в 19:44:39,0.7095844149589539,0.8714504241943359,0.7822314500808716,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0
Сколько я потратил на отели в 2024?,На отели было потрачено 9420 рублей.,"В 2024 году на отели потрачено: None.
",0.7738977670669556,0.7930002808570862,0.7833325862884521,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
Сколько я потратил на такси в 2024?,В 2024 году вы потратили 2664 рубля на такси.,"В 2024 году вы потратили -2664.0 RUB на такси.

",0.8740338683128357,0.8937657475471497,0.8837896585464478,0.5253819788848316,,1.0,0.5,0.6666666666666666,,1.0,0.3333333333333333,0.5,,1.0,0.5,0.6666666666666666,0.25,0.25,0.25,1,2,0,3,2
Когда был последний платеж по кредиту?,У вас не было платежей по кредитам.,"Последний платеж по кредиту был выполнен на сумму 5000.0 RUB в виде пополнения через банкомат Тинькофф под описанием ""Внесение наличных через банкомат Тинькофф""",0.6372559070587158,0.7337526679039001,0.6821083426475525,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
Я тратил что-нибудь в фастфуде?,Вы ничего не тратили в фастфуде.,"Для того, чтобы узнать информацию о вашей последней трате на фастфуд, мне нужно больше данных из базы. Пожалуйста, предоставьте дополнительную информацию. ",0.6650323867797852,0.7673585414886475,0.7125405073165894,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1,2,4,3,1
Я тратил что-нибудь в ресторанах?,В ресторанах вы потратили 290 рублей.,"Да, ты тратил 290 RUB в ресторане ""Фреш кафе"" с MCC кодом 5812. Последняя транзакция была проведена 3 июня 2024 года. 
",0.637688934803009,0.7445670962333679,0.6869960427284241,0.0,,1.0,0.16666666666666666,0.2857142857142857,,0.0,0.0,0.0,,1.0,0.16666666666666666,0.2857142857142857,0.0,0.0,0.0,5,5,0,5,5
Какая была сумма последнего перевода?,Последний раз вы переводили 10000 рублей.,"Сумма последнего перевода составила примерно 113928.38 RUB.
",0.6454280018806458,0.7066006064414978,0.6746304035186768,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0
Когда был последний перевод от Элины М?,Последний перевод от Элины М. был совершён 29 октября в 17:35.,"Последний перевод от Элины М. был на сумму 240.0 RUB и был совершен 29 октября 2024 года в 17:35:07.
",0.7988136410713196,0.9180148839950562,0.8542760610580444,0.35642944815504496,,1.0,0.375,0.5454545454545454,,0.5,0.14285714285714285,0.22222222222222224,,1.0,0.375,0.5454545454545454,0.16666666666666666,0.25,0.2,3,4,0,5,4
Когда последний раз я тратился на такси?,"Последняя операция по категории ""Такси"" была 12 июня 2024 года.","Последняя транзакция на такси была совершена 12 июля 2024 года в 19:51:59.

",0.7598481774330139,0.8343819975852966,0.7953727841377258,0.0,,1.0,0.4,0.5714285714285715,,1.0,0.25,0.4,,1.0,0.4,0.5714285714285715,0.16666666666666666,0.16666666666666666,0.16666666666666666,0,2,0,5,1
Сколько всего я потратил в сентябре?,В сентябре вы потратили 264985 рублей.,"В сентябре ты потратил -683357.28 RUB.
",0.7699217796325684,0.8185427188873291,0.7934881448745728,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.25,0.25,0.25,0,0,0,0,0
Когда и кому был совершён последний платёж?,Последний платеж был совершен 8 декабря 2024 года в 00:29:50 на сумму 10000 рублей. Перевод был сделан Владимиру З..,"Последний платеж был совершен 8 декабря 2024 года в 00:29:50. Информация о магазине отсутствует.
",0.8638473153114319,0.8088058829307556,0.8354210257530212,0.5164100863785666,,0.8333333333333334,1.0,0.9090909090909091,,0.8,1.0,0.888888888888889,,0.8333333333333334,1.0,0.9090909090909091,0.25,0.25,0.25,2,2,3,4,3
